  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │Time                              │Destination │NumberOfCompleteVehicles │FoamBox │PlasticFrame │Mark1 │Mark1Bar │Mark2 │Mark3 │Level3 │Supermarket3Labels │SmallFruit │BigFruit │FlowersFruits │Mark1_J │Mark2_J │Mark3_J │SmallFruitMark1 │SmallBunchFruits │BunchFruits │FineBunchFruits │SweetBunchFruits │BunchFruitsAA │AAA │TurnoverBasket │ElectronicCommerce │Carpooling 
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │   │   ├───2022-02-25             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-25             │成都          │393                      │238     │155          │0     │0        │0     │56    │0      │145                │0          │0        │37            │59      │96      │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-25             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-26 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-26             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-26             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-26             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-27 (3)             │            │864                      │670     │194          │0     │0        │0     │529   │0      │125                │0          │0        │16            │65      │87      │0       │0               │42               │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-27             │武汉          │507                      │507     │0            │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-27             │成都          │357                      │163     │194          │0     │0        │0     │22    │0      │125                │0          │0        │16            │65      │87      │0       │0               │42               │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-27             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-28 (3)             │            │507                      │507     │0            │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-28             │武汉          │507                      │507     │0            │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-28             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-28             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-01 (3)             │            │423                      │274     │149          │0     │0        │0     │5     │0      │194                │20         │0        │55            │4       │48      │0       │0               │6                │65          │26              │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-01             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-01             │成都          │423                      │274     │149          │0     │0        │0     │5     │0      │194                │20         │0        │55            │4       │48      │0       │0               │6                │65          │26              │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-01             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-02 (3)             │            │413                      │305     │108          │0     │0        │0     │1     │0      │244                │38         │0        │22            │16      │73      │0       │0               │0                │2           │17              │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-02             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-02             │成都          │413                      │305     │108          │0     │0        │0     │1     │0      │244                │38         │0        │22            │16      │73      │0       │0               │0                │2           │17              │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-02             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
